,count,percentage,EOA_count,EOA_percentage
erd10q3we4pt9k2h830s8hhxwfk4ea5zjaprde0dkjcmrdy53dv07sjqz2lzyt,2,0.01233882411006231,32,0.19742118576099696
erd1ttfkec3sj8gy4590lqvgwtdd8xzkl8wxhcy7tv06skha9rzdcudszd603e,1,0.006169412055031155,32,0.19742118576099696
erd1h29t8znkdhz4ycc5p797qang79kxewv789c95ef7pv8wj9q55gcsa9z3l6,2,0.01233882411006231,32,0.19742118576099696
erd1ze3t76y25cr0caa8r9dnaf3ftch22tpz8l9zzjv868fh72fhk55q6r3hjq,1,0.006169412055031155,31,0.19125177370596583
erd18rl67w03ty7agdrlfdp25n3ggrfjpv5upywwaydg3ugumrshk8yslkh9kg,3,0.018508236165093468,31,0.19125177370596583
erd1cwvptus402xndukhjsch4m9zf2msruzk5dyfypjprftdwm978elsg6s5ee,0,0.0,31,0.19125177370596583
erd1wpcpl0dfqync8n7pvx7ua3uvh7y6hr93awarxwmvw5vq5hsnasssc6al83,0,0.0,30,0.18508236165093467
erd1tuwx49dy9mttf2qedxkvxr7fjhrp9shywpe8yl40jarn37gjfxaqxauswl,3,0.018508236165093468,29,0.1789129495959035
erd1u53emnx6cm3kjd6v7nszzpjqnjxk2yp93v553gzt6kmc7nur5ggsnljyrp,2,0.01233882411006231,29,0.1789129495959035
erd1s6ph4unxkcepktnjdta6uhncws3xe8h6yev2e8wtnrsk2faz0lus5qtyag,0,0.0,29,0.1789129495959035
erd16c5wms50gh8x5cjk5t3nuwraf2glx6v88slp4sv4lstazzhvwx3s56vmn2,0,0.0,29,0.1789129495959035
erd1859ama8psgnyzc570paq8kx7ukrrrl293xf5gjhpkz3zu8v6wdqqgcktzc,28,0.17274353754087235,29,0.1789129495959035
erd1rurvrlw64r68eys9x6wr0js5dwypw8v9yl4jupsvly2wxw7pvx8sns8u4t,6,0.037016472330186935,29,0.1789129495959035
erd16sxydepyp2m6q8ygzdnlcn886wyspghzup498t8r6tngm52c2x8s0c0433,0,0.0,28,0.17274353754087235
erd1zx95qf5c8xv7q83sewz4ekn8k30lrgc5sr6htk7zf7gv3y6n28hq7r3ux6,0,0.0,28,0.17274353754087235
erd10jedtrhy385xwjyddgwd7r8stvzc96sne4am8pl54ya6gmlady8sn5d3fn,0,0.0,28,0.17274353754087235
erd1umxqxgqe2qgz3je40w9jhs443zwpgchw967mpkuv853c7k3apwxs30vdyg,1,0.006169412055031155,28,0.17274353754087235
erd1fke23htsr34c8q6t3fa2yl4jufqqng9s739ddewhwsml7yz4nf4sqr5atk,0,0.0,28,0.17274353754087235
erd19j0zdy7aakwt9s080gcvp7k299s5eav064c0dadfvf2ahx0csjxsyj9sr8,15,0.09254118082546733,28,0.17274353754087235
erd1eq3wvykmp6ckhvxa0zevcem90fqxklzumpckzz7r4q8xyn3cfctqvwdg23,1,0.006169412055031155,27,0.1665741254858412
erd1602kxwnut0hd308zkm0r05ul9x09e2myzlc0qdtm3uw0y9z628pq3hcqnc,9,0.055524708495280406,27,0.1665741254858412
erd189e4jtm0vg8rkje42xddn5z9fuhvf0jdref35c69nhcwzx2zkq3srxp98e,2,0.01233882411006231,26,0.16040471343081003
erd1me5hmqt5qg9r9jgw9r936444va6f4qw4uf0y2sgk0hsfhmtwvhnscdu9us,7,0.04318588438521809,26,0.16040471343081003
erd1p3y0nz7q3na0l0hu908g2semm8erzv2qd34vtvsnraph93e2c4gqqgh932,1,0.006169412055031155,26,0.16040471343081003
erd10p20080u7gct0ygvf2q9u2ne7y6kznr8fu2ql2rq6v4q884y6s8qdtv5q0,7,0.04318588438521809,25,0.1542353013757789
erd1hrxpjhyl77nt30p335fhj8umfn7l0d2d83u4sapp4svuqkvhqlmsseu678,4,0.02467764822012462,25,0.1542353013757789
erd123sle0lxhqvaztgeh4kjdmqwm3vzt3snd4umzfsuurrcr07lev8q8umlf6,0,0.0,25,0.1542353013757789
erd10ul7fan2s0v0egselrnj9mrd90mnsptzacvr3ujv0fn33ymau0cqt6kul8,1,0.006169412055031155,24,0.14806588932074774
erd13de6vjtpusayqd9uyck8pc0syqpc6fxfjt6t2nqh4fdz9xx7y6rsuzlgka,5,0.03084706027515578,24,0.14806588932074774
