,count,percentage
erd1u5cxq9m0lrv2w9dezepr88eyhhxntpy69cpr9kfr0sfax2glzlrqxv7u8g,45,0.27762354247640203
erd12xun43zaej6kdh6eh0u9kku36x5wyzw4yqm74q52flep40wjxlhs3jyhjt,44,0.27145413042137084
erd1nfluw5gs55dgk9w8twzrz6lnp0yc3ukw8qsr9ll6gnmshpug638qv00nsu,42,0.2591153063113085
erd1spm863ywflqdpu3kxjrndgze28gecqtfgx9nvtf5n33j0jr9fjeqdfayw4,41,0.2529458942562774
erd1nwakpepr0trwq8a8qyevlfxlzh5d35cg0afpafjhg8939ut2jxdqcdqech,41,0.2529458942562774
erd19ghd5tf0sxju7zueyhk5qgsgjmwrqlt4jspu3sm6jzm9fe35qcwstgw2zc,40,0.24677648220124623
erd16u5e6gh0grt0xf4ehc0g8p2gk8vh2t6ce6salqenr9zyjnrpq2qshmph05,40,0.24677648220124623
erd1hrrf5ar9ugz6gh9s9a6v5ept79s9tnnpzwt4ut9t8yug26cms88qnc0zuz,38,0.23443765809118391
erd1gcs4tfd4lnej86x4a8cxxn5xdmnneafgng0pye74463kp4r0rp4qp0x9ju,38,0.23443765809118391
erd1hndw66yfx5glwpf7f8dh7es4twcdyp5z7u7cacsyvp4rjgfpqnrqlv89tk,37,0.22826824603615273
erd1vsns5n42arn6g62l8teff0n45zu7efjdfkxzljwxu4gf064ww5wql86uz0,35,0.21592942192609046
erd1gjl7qt29j7wy5tkyy86pfsfdn3vq4hxsah6d87cdccew3ydzl9pse46hhr,33,0.20359059781602812
erd1tm80dnqham7rcp6n57uvw7tlasuu7taufrhhwtg2jrerqd05k5cq70n3qu,33,0.20359059781602812
erd1gnglqf7dvlachpfpzpykh9vjd5g9p7edvaapm8pc6kkfmh3u2lpqt254nn,33,0.20359059781602812
erd10q3we4pt9k2h830s8hhxwfk4ea5zjaprde0dkjcmrdy53dv07sjqz2lzyt,32,0.19742118576099696
erd1h29t8znkdhz4ycc5p797qang79kxewv789c95ef7pv8wj9q55gcsa9z3l6,32,0.19742118576099696
erd1ttfkec3sj8gy4590lqvgwtdd8xzkl8wxhcy7tv06skha9rzdcudszd603e,32,0.19742118576099696
erd1ze3t76y25cr0caa8r9dnaf3ftch22tpz8l9zzjv868fh72fhk55q6r3hjq,31,0.19125177370596583
erd1cwvptus402xndukhjsch4m9zf2msruzk5dyfypjprftdwm978elsg6s5ee,31,0.19125177370596583
erd18rl67w03ty7agdrlfdp25n3ggrfjpv5upywwaydg3ugumrshk8yslkh9kg,31,0.19125177370596583
erd1wpcpl0dfqync8n7pvx7ua3uvh7y6hr93awarxwmvw5vq5hsnasssc6al83,30,0.18508236165093467
erd1s6ph4unxkcepktnjdta6uhncws3xe8h6yev2e8wtnrsk2faz0lus5qtyag,29,0.1789129495959035
erd1859ama8psgnyzc570paq8kx7ukrrrl293xf5gjhpkz3zu8v6wdqqgcktzc,29,0.1789129495959035
erd1rurvrlw64r68eys9x6wr0js5dwypw8v9yl4jupsvly2wxw7pvx8sns8u4t,29,0.1789129495959035
erd1u53emnx6cm3kjd6v7nszzpjqnjxk2yp93v553gzt6kmc7nur5ggsnljyrp,29,0.1789129495959035
erd16c5wms50gh8x5cjk5t3nuwraf2glx6v88slp4sv4lstazzhvwx3s56vmn2,29,0.1789129495959035
erd1tuwx49dy9mttf2qedxkvxr7fjhrp9shywpe8yl40jarn37gjfxaqxauswl,29,0.1789129495959035
erd1zx95qf5c8xv7q83sewz4ekn8k30lrgc5sr6htk7zf7gv3y6n28hq7r3ux6,28,0.17274353754087235
erd1fke23htsr34c8q6t3fa2yl4jufqqng9s739ddewhwsml7yz4nf4sqr5atk,28,0.17274353754087235
erd19j0zdy7aakwt9s080gcvp7k299s5eav064c0dadfvf2ahx0csjxsyj9sr8,28,0.17274353754087235
erd1umxqxgqe2qgz3je40w9jhs443zwpgchw967mpkuv853c7k3apwxs30vdyg,28,0.17274353754087235
