,count,percentage
erd10p20080u7gct0ygvf2q9u2ne7y6kznr8fu2ql2rq6v4q884y6s8qdtv5q0,7,0.04318588438521809
erd1p856n9n4nvyt8eemrchl5dnc9aqv0cec29vclsccwzexaynf3z0qxjk959,7,0.04318588438521809
erd1dr3c6ksu54av6ymdf0xep87l54hkay4q6yya6n0a6fkryn3aetaqmc3guz,7,0.04318588438521809
erd16mljd4kh7zhrmr92wxuytan4ya3yq0wrhvmuuz5hhcxhvlewx90qeh3mu3,7,0.04318588438521809
erd14zne8x6ugp26f9f0x6ujxr3hh2wfe5vav49k04y8nuctjwgdjdhqzu780x,7,0.04318588438521809
erd1kzenwn35v23mv5ftrt946s2h6h9vn8e8zxmyqualtr36wu9xaxlsfae4ly,7,0.04318588438521809
erd14f2mn9drzff9sp5006c25a4m9ylyvg9ucakzywla47q6xrttm3zqgvtraz,7,0.04318588438521809
erd1pdxw9f9ah05zw80y9s7433ae6egl3a3z2srwenzpg0vaggzxhdyqy9svzx,7,0.04318588438521809
erd1aydd4vu4wjfml7rz6gzhqgmp958gjrefmhqtqnqkhg8w2ujg76gs0zpegw,7,0.04318588438521809
erd1me5hmqt5qg9r9jgw9r936444va6f4qw4uf0y2sgk0hsfhmtwvhnscdu9us,7,0.04318588438521809
erd17ws83p8s3ygcpr5w3rc00yzwj2qz40z28rmvyc2cfk7yz48ujeks7lrc5v,6,0.037016472330186935
erd1tccyxm8k37pclvuh7a7ye05xqzdfr6e9akg8vgfv4lpgfkar8z5sx5unzr,6,0.037016472330186935
erd1tvtefq7jpaar80xutc38vrnmc54ecraq50gtjypk5w6l7xypva9sthnuze,6,0.037016472330186935
erd12w6ktk7x6cvqd277aecch0385sa33urhk76j578p27tmzhyc792sh85ny7,6,0.037016472330186935
erd1pyj59ecw9ter29vsun42yytvppcr9ukv33uuj0309jxzqnlxaw8sdzkpy2,6,0.037016472330186935
erd1avg4krjfrfg0u6lm8cejeac8f93au3uxhshmfn25k7mc5h3gzrfqf7ukjd,6,0.037016472330186935
erd1nwnt92dcmg6ru49muahv7w7z7jga648hj6n2pfz45nulxts8haws4yxs93,6,0.037016472330186935
erd13j80zlnr4juxeq2w05vrvqyvxydrqrvhxe8gqv6c6vw0xemzjjqqkpcnfe,6,0.037016472330186935
erd1rurvrlw64r68eys9x6wr0js5dwypw8v9yl4jupsvly2wxw7pvx8sns8u4t,6,0.037016472330186935
erd1atyphkh9ytw2kp97vqx70rx3xqqwy0n66xhxw064kdqcf2hf94xsvkwdeq,6,0.037016472330186935
erd1a6jwd5u9yyeqkp32xaclvd6lq8ytw3q3a2qkfjmxc9rcxrprjxgqf2r68y,6,0.037016472330186935
erd1sje7jyzja02h9k0xz4hkqgk48nfdfj00zwjdr0235m7ks7ayymkqsewz6r,6,0.037016472330186935
erd1neenvm7z5e65gaqhagcezgahpqfvwcm0anpzq9c6tkm75u2kynuqkfjam4,6,0.037016472330186935
erd1qqqqqqqqqqqqqpgq8xwzu82v8ex3h4ayl5lsvxqxnhecpwyvwe0sf2qj4e,6,0.037016472330186935
